,body,class
0,"ตามที่มีผู้พบเห็นเว็บไซต์ www.gsb-th-online.com ธนาคารออมสิน ปล่อยสินเชื่อส่วนบุคคล ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงกับทางธนาคารออมสิน กระทรวงการคลัง พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ
จากกรณีที่มีเว็บไซต์ www.gsb-th-online.com ธนาคารออมสิน ปล่อยสินเชื่อส่วนบุคคล ทางธนาคารออมสิน กระทรวงการคลัง ได้ตรวจสอบข้อมูลและชี้แจงว่า เว็บไซต์ดังกล่าวไม่ใช่ของธนาคารออมสิน ธนาคารไม่มีส่วนเกี่ยวข้องกับการเผยแพร่ข้อมูลและปล่อยสินเชื่อดังกล่าว อีกทั้งธนาคารออมสินไม่มีนโยบายให้เงินกู้ผ่านเฟซบุ๊ก แอปพลิเคชันไลน์ และ Messenger เว็บไซต์ดังกล่าวแอบอ้างนำชื่อและตราสัญลักษณ์ธนาคารออมสินไปใช้ทำรูปโปรไฟล์โดยไม่ได้รับอนุญาต และยังเผยแพร่ข้อมูลที่ไม่ตรงกับความเป็นจริง อันแสดงเจตนาจงใจหลอกลวงประชาชนและกระทบต่อชื่อเสียงภาพลักษณ์ของธนาคาร ซึ่งจะดำเนินการเอาผิดทางกฎหมายต่อไป
ธนาคารจึงขอแจ้งให้ประชาชนที่พบเห็นเว็บไซต์หรือสื่อออนไลน์อื่นๆ ใช้ชื่อและโลโก้ตลอดทั้งนำชื่อผลิตภัณฑ์หรือสีอัตลักษณ์ของธนาคารออมสินไปตั้งโปรไฟล์ โพสต์เชิญชวนให้กู้เงินลักษณะนี้ผ่านสื่อใด ๆ ถือว่าเป็นข้อมูลปลอมทั้งสิ้น
หากถูกหลอกให้โอนเงินโปรดเก็บหลักฐานการสนทนา ลิงก์ไลน์ ชื่อ-หมายเลขโทรศัพท์ผู้ที่ให้โอนเงิน และเลขที่บัญชีธนาคารปลายทาง แจ้งศูนย์รับแจ้งเหตุภัยมิจฉาชีพทางการเงิน โทร.1115 กด 6 หรือ แจ้งความร้องทุกข์ต่อเจ้าหน้าที่ตำรวจท้องที่ทันที เพื่อให้เจ้าหน้าที่ตำรวจสามารถประสานงานไปยังธนาคารที่เกี่ยวข้องระงับความเสียหายโดยเร็วที่สุด",0
1,"ตามที่มีคลิปวิดีโอได้เผยแพร่เนื้อหา เกี่ยวกับประเด็นเรื่อง ดร.เศรษฐพุฒิ สุทธิวาทนฤพุฒิ ผู้ว่าการแบงก์ชาติ ให้ความเห็นวิจารณ์การเมือง ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดย ธนาคารแห่งประเทศไทย กระทรวงการคลัง พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ

กรณีการเผยแพร่คลิปวิดีโอ ที่มีเนื้อหาพาดพิงถึงผู้ว่าการแบงก์ชาติ ซึ่งระบุว่าผู้ว่าการแบงก์ชาติได้ให้ความเห็นวิจารณ์การเมืองนั้น ธนาคารแห่งประเทศไทย (ธปท.) ได้ตรวจสอบเรื่องดังกล่าวและชี้แจงว่า เป็นการนำ ปาฐกถาพิเศษ งานสัมมนาออนไลน์ในโอกาสครบรอบ 40 ปี วารสารการเงินธนาคาร Thailand’s Next Move : Looking Beyond Covid-19 หัวข้อ Looking Beyond Covid-19 : โจทย์ที่ท้าทายของเศรษฐกิจไทยหลังยุคโควิด 19″ ของ ผู้ว่าการธนาคารแห่งประเทศไทย ไปรายงานปนกับข่าวท่านนายกฯ ไปพูดที่ UN ทำให้เกิดการเข้าใจผิดว่า ท่านผู้ว่าการวิพากษ์การเมือง",0
2,"ตามที่มีการเผยแพร่ข่าวสารในสื่อออนไลน์เรื่อง เอกสารแถลงการณ์ของสถานทูตเมียนมาร์ในประเทศไทย ต่อเหตุการณ์ชุมนุมประท้วง
 ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงกับกรมสารนิเทศ กระทรวงการต่างประเทศ พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จกรณีการเผยแพร่เอกสารแถลงการณ์ของสถานทูตเมียนมาร์ในประเทศไทย ต่อเหตุการณ์ชุมนุมในประเทศไทยนั้น ทางกรมสารนิเทศ กระทรวงการต่างประเทศ ได้ตรวจสอบเอกสารดังกล่าวและได้รับการยืนยันจากทั้งสถานเอกอัครราชทูต ณ กรุงย่างกุ้ง และสถานเอกอัครราชทูตเมียนมาประจำประเทศไทยว่าสถานเอกอัครราชทูตเมียนมาไม่ได้ออกเอกสารแถลงการณ์ดังกล่าว และเอกสารดังกล่าวเป็นเอกสารปลอม",0
3,เมื่อวันที่ 27 เมษายน สำนักงานคณะกรรมการการเลือกตั้ง (กกต.) ออกเอกสารชี้แจงกรณีประเด็นที่เกิดขึ้นในสื่อสังคมออนไลน์เกี่ยวกับ เอกสารแจ้งเจ้าบ้านที่ทางสำนักงานกกต. จัดทำถึงเจ้าบ้านเพื่อแจ้งรายละเอียดข้อมูลนโยบายของพรรคการเมืองและผู้สมัครรับเลือกตั้ง ว่ามีบางพรรคและหมายเลขได้หายไปจากเล่มของเอกสารดังกล่าว ว่า ได้มีการทำและตรวจสอบจากต้นฉบับแล้วปรากฏว่า มีครบทุกหน้า อีกทั้งในกระบวนการสั่งพิมพ์ก่อนจัดส่ง ทางสำนักงานกกต.ได้มีการตรวจรับอย่างรอบคอบครบถ้วน,0
4,จากกรณีข่าวลือที่ระบุว่าผู้ว่าจังหวัดภูเก็ตเหมารถตู้ภูเก็ตขนมุสลิมหน้าตาแปลกๆ คันละไม่ต่ำกว่า 20 คนมาอยู่ในหมู่บ้านที่ชาวมุสลิมใต้,0
5,"ตามที่มีการได้รับข้อมูลเรื่อง กฟภ.ส่ง SMS แจ้งลดค่า Ft จาก 89.55 สตางค์/หน่วย เป็น 39.72 สตางค์/หน่วย ติดต่อลงทะเบียนที่ www.vu-th.com นั้น ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดยการไฟฟ้าส่วนภูมิภาค กระทรวงมหาดไทย พบว่าข้อมูลดังกล่าว เป็นข้อมูลเท็จ

กรณีที่มีผู้ได้รับข้อความโดยระบุกฟภ. แจ้งลดค่า Ft สำหรับผู้ใช้ไฟฟ้าทุกประเภทจาก 89.55 สตางค์/หน่วย เป็น 39.72 สตางค์/หน่วย ติดต่อลงทะเบียนกับเจ้าหน้าที่ผ่าน www.vu-th.com นั้น ทางการไฟฟ้าส่วนภูมิภาค กระทรวงมหาดไทย ได้ตรวจสอบข้อมูลและชี้แจงว่า SMS หรือข้อความดังกล่าวเป็น SMS ปลอม ที่มีผู้ไม่หวังดีทำการแอบอ้างใช้ชื่อของการไฟฟ้าฯ เนื่องจากปัจจุบันการไฟฟ้าส่วนภูมิภาค ไม่มีนโยบายส่งข้อความแจ้งเตือนทาง SMS เพื่อแจ้งลดค่า Ft สำหรับผู้ใช้ไฟฟ้าทุกประเภทจาก 89.55 สตางค์/หน่วย เป็น 39.72 สตางค์/หน่วย และให้ติดต่อลงทะเบียนกับเจ้าหน้าที่ผ่าน www.vu-th.com ตามที่กล่าวอ้าง",0
6, กรมการจัดหางานเปิดรับสมัครตัวแทนงานฝีมือเพื่อสร้างรายได้เสริมในครอบครัว รายได้เฉลี่ยวันละ 300-700 บาท ทางกรมการจัดหางาน กระทรวงแรงงาน ได้ตรวจสอบและชี้แจงว่า ภาพประกาศเชิญชวนรับสมัครงานดังกล่าวไม่เป็นความจริง ข้อมูลที่โพสต์นั้นไม่ได้มาจากส่วนราชการของกรมการจัดหางานทั้งที่เป็นส่วนกลางและส่วนภูมิภาค,0
7,"ตามที่มีการปรากฏข้อมูลในประเด็นเรื่องพรรคเพื่อไทย และพรรคก้าวไกล หายจากเอกสารคู่มือการเลือกตั้ง กกต. เจอเบอร์ 27 และข้ามไปเบอร์ 32 ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงกับทาง สำนักงานคณะกรรมการการเลือกตั้ง พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ

จากกรณีระบุว่า กกต.แอบเอาพรรคเพื่อไทย 29 และพรรคก้าวไกล 31 ออกจากคู่มือ หมายเลข 27 แล้วไป 32 เลยนั้น ทางสำนักงานคณะกรรมการการเลือกตั้ง ได้ชี้แจงว่า ได้มีการทำและตรวจสอบจากเอกสารต้นฉบับแล้วปรากฏว่า มีครบทุกหน้า อีกทั้งในกระบวนการสั่งพิมพ์ก่อนจัดส่ง ทางสำนักงานคณะกรรมการการเลือกตั้งได้มีการตรวจรับอย่างรอบคอบครบถ้วน ขอยืนยันว่าข่าวดังกล่าวไม่ใช่ข้อเท็จจริงที่ผิดพลาดจากสำนักงานคณะกรรมการการเลือกตั้ง ซึ่งทางสำนักงานคณะกรรมการการเลือกตั้งกำลังสืบสวนข้อเท็จจริง หากพบว่า เป็นการกลั่นแกล้งจะดำเนินการไต่สวนเพื่อดำเนินคดีต่อไป ทั้งนี้ สำนักงานคณะกรรมการการเลือกตั้งได้ปฏิบัติหน้าที่ตามกรอบของกฎหมายและยึดหลักสุจริตโดยแท้ต่อไป",0
8,รัฐหลอกให้ลงทะเบียนรับเงินเยียวยา เพื่อจะเรียกเก็บภาษีย้อนหลัง ทางกรมสรรพากร กระทรวงการคลัง ได้ตรวจสอบข้อมูลและชี้แจงว่า ตามที่มีความเข้าใจคลาดเคลื่อนระบุว่า กรมสรรพากรจะนำข้อมูลของผู้ลงทะเบียน www.เราไม่ทิ้งกัน.com ไปใช้ในการตรวจสอบภาษีย้อนหลังของกลุ่มผู้มีอาชีพอิสระนั้น ขอแจ้งว่า ข้อมูลดังกล่าวไม่เป็นความจริง กรมสรรพากรขอยืนยันว่า ผู้ลงทะเบียนผ่าน www.เราไม่ทิ้งกัน.com เพื่อรับเงินตามมาตรการฯ ดังกล่าว จะไม่ถูกนำข้อมูลการลงทะเบียนมาใช้ในการตรวจสอบภาษี เนื่องจากกรมสรรพากรมีข้อมูลทั้งหมดอยู่แล้ว,0
9,"ก.ล.ต. เปิดให้ลงทุนผ่านเว็บไซต์ ทางสำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์ (ก.ล.ต.) 
ได้ตรวจสอบข้อมูลและชี้แจงว่า เป็นการให้ข้อมูลชักชวนลงทุนโดยแอบอ้างชื่อและภาพผู้บริหารของสำนักงาน ก.ล.ต. และ
หน่วยงานที่เกี่ยวข้องกับตลาดทุน รวมถึงมีการใช้โลโก้ตลาดหลักทรัพย์ฯ โดยไม่ได้รับอนุญาต ซึ่งดังกล่าวไม่ใช่เว็บไซต์ของ ก.ล.ต.",0
